127.0.0.1, 2015-07-05 16:27:08, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-27-01.aca76e6a-1fe1-485f-b2ed-22e1b49a9281, HTTP/1.1, 200, 0.227411
127.0.0.1, 2015-07-05 16:27:46, GET, /, HTTP/1.1, 500, 0.039569
127.0.0.1, 2015-07-05 16:27:48, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-27-46.b9733be1-a0ea-4581-9b9b-32251b3bd448, HTTP/1.1, 200, 0.102204
127.0.0.1, 2015-07-05 16:30:45, GET, /, HTTP/1.1, 500, 0.115742
127.0.0.1, 2015-07-05 16:30:47, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-30-45.7281f684-cd10-4106-9584-47a3a2453cb0, HTTP/1.1, 200, 0.273211
127.0.0.1, 2015-07-05 16:32:13, GET, /, HTTP/1.1, 500, 5.689340
127.0.0.1, 2015-07-05 16:32:16, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-32-07.44651469-40b7-4c48-937f-9b2874b12121, HTTP/1.1, 200, 0.191241
127.0.0.1, 2015-07-05 16:35:14, GET, /, HTTP/1.1, 200, 2.539633
127.0.0.1, 2015-07-05 16:35:22, GET, /profile, HTTP/1.1, 404, 0.130839
127.0.0.1, 2015-07-05 16:35:25, GET, /parse_acquisuite, HTTP/1.1, 500, 0.406593
127.0.0.1, 2015-07-05 16:35:27, GET, /admin/default/ticket/dashboard/127.0.0.1.2015-07-05.16-35-25.04a8a64d-274e-4bd0-b45d-36827e2f7bde, HTTP/1.1, 200, 0.296017
127.0.0.1, 2015-07-05 16:36:05, GET, /parse_acquisuite, HTTP/1.1, 200, 0.217025
127.0.0.1, 2015-07-05 16:36:11, GET, /parse_acquisuite, HTTP/1.1, 200, 0.198621
127.0.0.1, 2015-07-05 16:36:15, GET, /parse_acquisuite, HTTP/1.1, 200, 0.213219
127.0.0.1, 2015-07-05 16:40:09, GET, /parse_acquisuite, HTTP/1.1, 200, 0.588381
127.0.0.1, 2015-07-05 16:43:29, GET, /parse_acquisuite, HTTP/1.1, 200, 0.195923
